id_razao,data,conta,historico,documento,valor
R00234,2026-06-27,1.1.2.05 - Operadoras de Cartao,Repasse cartao LOTE900 - parcela 2,LOTE900-2,2893.21
R00235,2026-06-14,4.1.3.02 - Despesas Bancarias,TARIFA BANCARIA - Farias,DOC100206,-503.16
R00236,2026-06-14,1.1.2.01 - Clientes,PIX RECEBIDO - da Costa,DOC100205,12995.21
R00237,2026-06-17,1.1.2.01 - Clientes,RECEBIMENTO CLIENTE - Duarte,DOC100230,22930.3
R00238,2026-06-26,1.1.2.05 - Operadoras de Cartao,Repasse cartao LOTE902 - parcela 1,LOTE902-1,3513.98
R00239,2026-06-04,1.1.2.01 - Clientes,LIQUIDACAO BOLETO - Caldeira e Filhos,DOC100125,2493.03
R00240,2026-06-09,4.1.3.02 - Despesas Bancarias,TARIFA BANCARIA - Sampaio,DOC100170,-1499.09
R00241,2026-06-20,2.1.3.01 - Tributos a Recolher,DARF - Porto,DOC100023,-345.48
R00242,2026-06-02,1.1.2.05 - Operadoras de Cartao,CREDITO CARTAO - Mendonça Câmara Ltda.,DOC100219,8986.26
R00243,2026-06-05,1.1.2.05 - Operadoras de Cartao,CREDITO CARTAO - Lopes Cavalcanti e Filhos,DOC100258,2518.48
R00244,2026-06-20,2.1.2.01 - Salarios a Pagar,FOLHA DE PAGAMENTO - Pires,DOC100018,-7796.72
R00245,2026-06-18,2.1.2.01 - Salarios a Pagar,FOLHA DE PAGAMENTO - Borges S.A.,DOC100093,-1133.9
R00246,2026-06-20,1.1.2.01 - Clientes,RECEBIMENTO CLIENTE - Ribeiro,DOC100166,2631.89
R00247,2026-06-24,4.1.3.02 - Despesas Bancarias,TARIFA BANCARIA - Ramos,DOC100153,-11184.47
R00248,2026-06-04,2.1.2.01 - Salarios a Pagar,FOLHA DE PAGAMENTO - Peixoto - ME,DOC100158,-812.63
R00249,2026-06-23,2.1.3.01 - Tributos a Recolher,DARF - da Cunha,DOC100233,-12738.7
R00250,2026-06-30,2.1.3.01 - Tributos a Recolher,DARF - Castro,DOC100024,-50.83
R00251,2026-06-28,1.1.2.01 - Clientes,RECEBIMENTO CLIENTE - Borges Ltda.,DOC100276,9010.77
R00252,2026-06-07,1.1.2.05 - Operadoras de Cartao,CREDITO CARTAO - Fogaça Ltda.,DOC100217,1222.15
R00253,2026-06-29,1.1.2.01 - Clientes,TED RECEBIDA - Fogaça,DOC100025,2958.17
R00254,2026-06-05,2.1.1.01 - Fornecedores,PAGAMENTO FORNECEDOR - Cirino,DOC100089,-268.7
R00255,2026-06-08,4.1.3.02 - Despesas Bancarias,TARIFA BANCARIA - Pimenta Nunes Ltda.,DOC100174,-973.1
R00256,2026-06-26,1.1.2.05 - Operadoras de Cartao,Repasse cartao LOTE902 - parcela 2,LOTE902-2,2591.19
R00257,2026-06-26,1.1.2.01 - Clientes,PIX RECEBIDO - Lopes Viana - EI,DOC100177,24372.77
R00258,2026-06-09,4.1.3.02 - Despesas Bancarias,TARIFA BANCARIA - Alves S/A,DOC100004,-17294.02
R00259,2026-06-02,2.1.3.01 - Tributos a Recolher,DARF - Vasconcelos Moreira - ME,DOC100304,-1246.59
R00260,2026-06-05,2.1.1.01 - Fornecedores,PAGAMENTO FORNECEDOR - Sá,DOC100196,-71.55
R00261,2026-06-04,1.1.2.01 - Clientes,LIQUIDACAO BOLETO - da Conceição Montenegro - EI,DOC100005,10567.03
R00262,2026-06-27,4.1.2.03 - Despesas com Ocupacao,ALUGUEL - Vargas,DOC100214,-1977.73
R00263,2026-06-28,1.1.2.01 - Clientes,RECEBIMENTO CLIENTE - Cardoso Ribeiro - ME,DOC100064,7390.6
R00264,2026-06-07,1.1.2.05 - Operadoras de Cartao,CREDITO CARTAO - Nogueira,DOC100211,590.98
R00265,2026-06-25,2.1.3.01 - Tributos a Recolher,DARF - da Luz,DOC100110,-8686.98
R00266,2026-06-09,2.1.1.01 - Fornecedores,PIX ENVIADO - da Mata Castro e Filhos,DOC100146,-16806.6
R00267,2026-06-17,1.1.2.05 - Operadoras de Cartao,CREDITO CARTAO - Pires,DOC100203,14122.12
R00268,2026-06-30,2.1.1.01 - Fornecedores,PIX ENVIADO - Vargas,DOC100050,-556.06
R00269,2026-06-07,2.1.1.01 - Fornecedores,PAGAMENTO FORNECEDOR - Albuquerque - EI,DOC100294,-5406.15
R00270,2026-06-13,2.1.1.01 - Fornecedores,PIX ENVIADO - Fonseca,DOC100040,-7941.96
R00271,2026-06-25,4.1.3.02 - Despesas Bancarias,TARIFA BANCARIA - Correia Correia - EI,DOC100087,-1177.63
R00272,2026-06-29,4.1.2.03 - Despesas com Ocupacao,ALUGUEL - Araújo - ME,DOC100085,-15204.39
R00273,2026-06-29,2.1.3.01 - Tributos a Recolher,DARF - Ferreira,DOC100014,-5008.34
R00274,2026-06-21,4.1.2.03 - Despesas com Ocupacao,ALUGUEL - Novaes,DOC100175,-107.16
R00275,2026-06-14,4.1.3.02 - Despesas Bancarias,TARIFA BANCARIA - Mendonça Cunha Ltda.,DOC100267,-7321.46
R00276,2026-06-17,4.1.3.02 - Despesas Bancarias,TARIFA BANCARIA - Pastor Câmara S/A,DOC100072,-8238.48
R00277,2026-06-18,4.1.3.02 - Despesas Bancarias,TARIFA BANCARIA - Câmara,DOC100148,-69.83
R00278,2026-06-24,1.1.2.01 - Clientes,RECEBIMENTO CLIENTE - Marques Abreu e Filhos,DOC100053,1726.69
R00279,2026-06-27,1.1.2.01 - Clientes,LIQUIDACAO BOLETO - Pacheco Peixoto S/A,DOC100108,12537.51
R00280,2026-06-27,1.1.2.05 - Operadoras de Cartao,Repasse cartao LOTE900 - parcela 1,LOTE900-1,2222.89
R00281,2026-06-27,2.1.1.01 - Fornecedores,PIX ENVIADO - da Rocha Cunha S/A,DOC100101,-79.55
R00282,2026-06-06,2.1.1.01 - Fornecedores,PAGAMENTO FORNECEDOR - Barros e Filhos,DOC100062,-6981.06
R00283,2026-06-27,1.1.2.01 - Clientes,TED RECEBIDA - Câmara,DOC100007,22479.94
R00284,2026-06-07,1.1.2.01 - Clientes,TED RECEBIDA - Casa Grande Rezende e Filhos,DOC100189,23912.21
R00285,2026-06-23,1.1.2.01 - Clientes,TED RECEBIDA - da Rocha da Conceição Ltda.,DOC100289,24920.03
R00286,2026-06-13,2.1.3.01 - Tributos a Recolher,DARF - Sá S/A,DOC100237,-720.93
R00287,2026-06-15,1.1.2.01 - Clientes,PIX RECEBIDO - Vargas da Rocha S/A,DOC100021,18886.03
R00288,2026-06-25,1.1.2.01 - Clientes,TED RECEBIDA - Leão,DOC100218,2833.01
R00289,2026-06-06,4.1.3.02 - Despesas Bancarias,TARIFA BANCARIA - Barbosa,DOC100300,-284.85
R00290,2026-06-06,2.1.2.01 - Salarios a Pagar,FOLHA DE PAGAMENTO - Mendonça,DOC100255,-1234.49
R00291,2026-06-09,1.1.2.01 - Clientes,LIQUIDACAO BOLETO - Nogueira,DOC100120,24485.35
R00292,2026-06-12,1.1.2.05 - Operadoras de Cartao,CREDITO CARTAO - Novaes,DOC100171,24839.22
R00293,2026-06-20,4.1.2.03 - Despesas com Ocupacao,ALUGUEL - Sá Martins - EI,DOC100264,-3334.58
R00294,2026-06-21,2.1.1.01 - Fornecedores,PIX ENVIADO - Casa Grande Alves S/A,DOC100184,-15093.61
R00295,2026-06-28,1.1.2.01 - Clientes,TED RECEBIDA - Azevedo Peixoto S/A,DOC100106,2100.14
R00296,2026-06-28,4.1.2.03 - Despesas com Ocupacao,ALUGUEL - Caldeira,DOC100086,-738.28
R00297,2026-06-15,2.1.2.01 - Salarios a Pagar,FOLHA DE PAGAMENTO - Nogueira Andrade Ltda.,DOC100137,-2157.7
R00298,2026-06-16,2.1.1.01 - Fornecedores,PAGAMENTO FORNECEDOR - Pastor,DOC100306,-10502.03
R00299,2026-06-14,1.1.2.05 - Operadoras de Cartao,CREDITO CARTAO - Nascimento Siqueira S.A.,DOC100028,2898.43
R00300,2026-06-14,1.1.2.01 - Clientes,PIX RECEBIDO - Farias S/A,DOC100075,16346.55
R00301,2026-06-03,2.1.2.01 - Salarios a Pagar,FOLHA DE PAGAMENTO - Nogueira,DOC100207,-2908.51
R00302,2026-06-03,4.1.3.02 - Despesas Bancarias,TARIFA BANCARIA - Azevedo,DOC100032,-6094.87
R00303,2026-06-30,4.1.3.02 - Despesas Bancarias,TARIFA BANCARIA - Martins,DOC100178,-9450.49
R00304,2026-06-28,2.1.3.01 - Tributos a Recolher,DARF - Santos,DOC100257,-230.78
R00305,2026-06-10,1.1.2.01 - Clientes,RECEBIMENTO CLIENTE - Gomes Ltda.,DOC100221,16048.95
R00306,2026-06-12,2.1.2.01 - Salarios a Pagar,FOLHA DE PAGAMENTO - Gomes Sales S.A.,DOC100209,-17028.64
R00307,2026-06-10,1.1.2.01 - Clientes,RECEBIMENTO CLIENTE - Caldeira,DOC100245,17156.85
R00308,2026-06-15,2.1.2.01 - Salarios a Pagar,FOLHA DE PAGAMENTO - da Cunha - ME,DOC100298,-1036.16
R00309,2026-06-21,1.1.2.01 - Clientes,PIX RECEBIDO - Novaes,DOC100134,574.62
R00310,2026-06-03,4.1.2.03 - Despesas com Ocupacao,ALUGUEL - da Mota,DOC100232,-14251.99
R00311,2026-06-03,4.1.2.03 - Despesas com Ocupacao,ALUGUEL - Novaes,DOC100198,-740.56
R00312,2026-06-26,1.1.2.01 - Clientes,LIQUIDACAO BOLETO - Rezende Monteiro - ME,DOC100034,5075.17
R00313,2026-06-13,1.1.2.01 - Clientes,LIQUIDACAO BOLETO - Barbosa Macedo - EI,DOC100091,2728.79
R00314,2026-06-27,2.1.2.01 - Salarios a Pagar,FOLHA DE PAGAMENTO - Cirino,DOC100297,-3567.89
R00315,2026-06-18,1.1.2.01 - Clientes,TED RECEBIDA - Sá S/A,DOC100190,2719.83
R00316,2026-06-04,2.1.2.01 - Salarios a Pagar,FOLHA DE PAGAMENTO - Garcia S/A,DOC100147,-91.86
R00317,2026-06-11,4.1.2.03 - Despesas com Ocupacao,ALUGUEL - Machado,DOC100313,-4129.15
R00318,2026-06-29,2.1.2.01 - Salarios a Pagar,FOLHA DE PAGAMENTO - Nascimento,DOC100016,-896.12
R00319,2026-06-29,1.1.2.01 - Clientes,RECEBIMENTO CLIENTE - Almeida,DOC100059,1169.76
R00320,2026-06-20,4.1.3.02 - Despesas Bancarias,TARIFA BANCARIA - da Mata,DOC100282,-1497.32
R00321,2026-06-08,1.1.2.01 - Clientes,LIQUIDACAO BOLETO - da Costa Cavalcanti - EI,DOC100311,4113.32
R00322,2026-06-12,1.1.2.01 - Clientes,RECEBIMENTO CLIENTE - Martins,DOC100260,789.94
R00323,2026-06-12,1.1.2.05 - Operadoras de Cartao,Repasse cartao LOTE901 - parcela 3,LOTE901-3,2418.07
R00324,2026-06-26,1.1.2.05 - Operadoras de Cartao,Repasse cartao LOTE902 - parcela 4,LOTE902-4,1209.02
